"SCHNO","FULLNAME","SCHLEVEL","ADDRESS","mean_dist3_mi","dens_students_mi2","enroll","enroll_SED","enroll_prog","SED_frac","prog_frac","staff_cc_favorability","staff_participation","family_cc_favorability","family_participation","student_cc_favorability","student_participation","growth_mindset_fav","self_efficacy_fav","self_management_fav","social_awareness_fav","Performance_ELA","Performance_Math","Change_ELA","Change_Math","top3_pct_2324","top3_pct_2425","top3_pct_2325","num2022","sep2022","num2023","sep2023","turnover_mean","prog_cap","pct_cap","fci"
413,"Alamo ES",2,"250 23rd Ave, San Francisco, CA",0.705828032342346,62.66233766,393,165,221,0.419847328244275,0.56234096692112,75,0.882,97,0.438,73,0.946,74,61,71,65,44.5,28.6,7.5,1.1,0.049,0.045,0.047,22,0,25,3,0.06,572,0.687062937062937,0.38
420,"Alvarado ES",2,"625 Douglass St, San Francisco, CA",0.702590099400603,48.25174825,519,159,354,0.30635838150289,0.682080924855491,89,0.897,95,0.304,73,0.915,70,61,70,59,35.5,11.9,1.2,7.2,0.095,0.092,0.094,55,10,33,0,0.0909090909090909,572,0.907342657342657,0.5
435,"Argonne ES",2,"680 18th Ave, San Francisco, CA",0.636983200119189,62.66233766,368,127,187,0.345108695652174,0.508152173913043,93,0.684,96,0.396,78,0.957,71,62,66,61,27.7,18.7,-1.3,-11.9,0.05,0.046,0.048,27,1,27,0,0.0185185185185185,418,0.880382775119617,0.29
456,"Bryant ES",2,"2641 25th St, San Francisco, CA",0.472559658205033,138.1974249,241,219,235,0.908713692946058,0.975103734439834,76,0.513,96,0.149,73,0.795,72,55,57,56,-85,-102.1,-27.6,-25.5,0.024,0.017,0.021,19,1,21,4,0.121553884711779,297,0.811447811447811,0.51
625,"Carver (Dr George W) ES",2,"1360 Oakdale Ave, San Francisco, CA",0.565263061334047,81.33874239,97,87,91,0.896907216494845,0.938144329896907,76,0.778,100,0.309,62,0.724,67,43,47,52,-76.7,-84.6,12.8,12.7,0.005,0.005,0.005,11,1,11,1,0.0909090909090909,418,0.232057416267943,0.37
603,"Chavez (Cesar) ES",2,"825 Shotwell St, San Francisco, CA",0.460601180816473,138.1974249,412,293,391,0.711165048543689,0.949029126213592,81,0.875,92,0.251,67,0.805,68,44,56,54,-102.2,-110.4,10.1,6,0.028,0.025,0.026,37,2,38,3,0.0665007112375533,572,0.72027972027972,0.29
872,"Chin (John Yehall) ES",2,"350 Broadway, San Francisco, CA",0.378154931383376,72.36842105,253,191,215,0.754940711462451,0.849802371541502,100,1,99,1,76,1,68,55,75,59,70.6,61.2,9.2,-4.7,0.022,0.025,0.024,13,0,14,1,0.0357142857142857,297,0.851851851851852,0.05
509,"Chinese Immersion School at DeAvila ES",2,"1250 Waller St, San Francisco, CA",0.485509065301748,52.66272189,382,143,382,0.37434554973822,1,89,1,94,0.397,61,0.974,62,45,66,50,66.3,62.1,-4.1,-12.9,0.047,0.049,0.048,21,2,21,2,0.0952380952380952,572,0.667832167832168,0.2
478,"Clarendon ES",2,"500 Clarendon Ave, San Francisco, CA",0.865072623307238,52.88461538,529,138,351,0.260869565217391,0.66351606805293,88,0.8,97,0.39,76,0.88,76,68,77,68,71.9,37.2,-4.8,-3,0.104,0.094,0.099,31,2,45,3,0.0655913978494624,572,0.924825174825175,0.12
481,"Cleveland ES",2,"455 Athens St, San Francisco, CA",0.639059046660566,162.797619,306,232,286,0.758169934640523,0.934640522875817,69,1,98,0.407,58,0.982,54,37,55,48,-99.3,-98.7,-14.8,-0.5,0.017,0.015,0.016,27,0,27,0,0,418,0.732057416267943,0.3
