SCHNO,FULLNAME,SCHNAME,ADDRESS,ZIPCODE,ZIPCODE2,City,State,PHONE,PRINCIPAL,Fax,Email,SCHLEVEL,MARKCYCLE,BEGGRADE,ENDGRADE,E,M,H,K8,CDS_COUNTY,CDS_DISTRICT,CDS_SCHOOL,SHORTNAME,NcesId,SchoolOpenClose,SchoolStartTime,SchoolEndTime,Zone,Charter
853,"Marshall (Thurgood) HS",,"45 Conkling St",94124,,"San Francisco",CA,4156955612,"Ballard-Hanson, Sarah",4156955438,sch853@sfusd.edu,4,6,8,"5th YR Senior",N,N,Y,N,38,68478,3830403,,03976,Y,0,11,HS1,N
816,"Sanchez ES",,"325 Sanchez St",94114,,"San Francisco",CA,4152416380,"Marin, Ann",4155226729,sch816@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041545,,05664,Y,1,1,C1,N
086,"NPS - Oak Hill School",,"300 Sunny Hills Dr Apt Bldg6 7",94960,,"San Anselmo",CA,4153317601,,4154577620,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
921,"Las Americas EES",,"801 Treat Ave",94110,,"San Francisco",CA,4156955746,"Twiest, Sarah",,,1,,PK,PK,N,N,N,N,38,68478,0117580,,13328,Y,1,1,EE,N
095,"NPS - California School for the Deaf",,"39350 Gallaudet Dr",94538,2308,Fremont,CA,5107943666,,5107943797,svirnig@csdf-cde.ca.gov,5,,PK,Unknown,N,N,N,N,38,10389,0000002,,10347,Y,1,1,,N
997,"Tule Elk Park EES",,"2110 Greenwich St",94123,,"San Francisco",CA,4157493551,"Lambert, Nancy",,,1,3,TK,PK,N,N,N,N,38,68478,0117523,,12583,Y,1,1,EE,N
158,"NPS - Devereux Texas Treatment Center",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
543,"Five Keys Charter HS ","Five Key","1 Moreland Dr",94066,,"San Francisco",CA,4157343310,,4157343314,steveg@5keyscharter.org,4,,9,"5th YR Senior",N,N,Y,N,38,68478,0101774,"Five Key",11407,Y,1,6,,Y
559,"Galileo HS",,"1150 Francisco St",94109,,"San Francisco",CA,4157493430,"Avila, Peter",4157712322,sch559@sfusd.edu,4,6,8,"5th YR Senior",N,N,Y,N,38,68478,3831765,,05612,Y,0,10,HS1,N
192,"NPS - Achieve, Inc.",,"3860 Middlefield Rd",94303,4716,"Palo Alto",CA,6504941200,,6504941243,tdreschler@achievekids.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,09473,Y,1,1,,N
442,"Access SFUSD: The Arc",,"1520 Howard St",94102,,"San Francisco",CA,4152416435,"Schinella, Kara",,,5,,"5th YR Senior","5th YR Senior",N,N,N,N,38,10389,6069561,,10647,Y,1,1,HS2,N
911,"Bryant EES",,"1060 York St",94110,,"San Francisco",CA,4156955784,"Codicetti, Laura",4156955425,,1,,PK,PK,N,N,N,N,38,68478,6040778,,05592,Y,1,1,EE,N
126,"NPS - Children's Learning Center-Middle/High School Program",,"1910 Central Av",94501,,Alameda,CA,5107697100,,5107691824,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
182,"NPS - Diamond Ranch Academy",,"433 S Diamond Ranch Pkwy",84737,,Hurrican,UT,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
195,"NPS - Mountain Valley School-Nevada City",,"10591 Milhous Dr",95959,,"Nevada City",CA,5302659057,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
133,"NPS - Cherry Gulch",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
051,"NPS - The Bridge School",,"545 EUCALYPTUS Av",94010,,HILLSBOROURGH,CA,6506967295,,6503427598,,5,,TK,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
517,"Edison K-8 Charter Academy ",,"3531 22nd St",94114,,"San Francisco",CA,4156955848,,4159700344,,6,,TK,8,N,N,N,Y,38,68478,6040935,,,Y,0,7,,Y
151,"NPS - Seneca Family of Agencies: Catalyst Academy",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
167,"NPS - The Help Group: Summit View",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
565,"Gateway HS Charter",,"1430 Scott St",94115,,"San Francisco",CA,4157493600,,4157492716,,4,,9,"5th YR Senior",N,N,Y,N,38,68478,3830437,,07725,Y,1,6,,Y
168,"NPS - The Help Group: STEM3 Academy",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
923,"Mahler (Theresa S) EES",,"990 Church St",94114,,"San Francisco",CA,4156955871,"Uwakah, Ugonma",,,1,,PK,PK,N,N,N,N,38,68478,0117572,,13281,Y,1,1,EE,N
797,"Roosevelt MS",,"460 Arguello Blvd",94118,,"San Francisco",CA,4157508446,"Leicham, Emily",4157508455,sch797@sfusd.edu,3,3,6,8,N,Y,N,N,38,68478,6059901,,05662,Y,0,8,MS,N
607,"Hoover (Herbert) MS",,"2290 14th Ave",94116,,"San Francisco",CA,4157592783,"Smith, Adrienne",4157592881,sch607@sfusd.edu,3,4,6,8,N,Y,N,N,38,68478,6059851,,05624,Y,0,10,MS,N
509,"Chinese Immersion School at DeAvila ES",,"1250 Waller St",94117,,"San Francisco",CA,4152416325,"Yee, Mia",4152416540,sch509@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,0120386,,12487,Y,1,1,C2,N
484,"City Arts and Leadership HS Charter",,"0325 La Grande Av",94112,,"San Francisco",CA,4158412200,,4158412200,info@es-cat.org,4,,9,"5th YR Senior",N,N,Y,N,38,68478,0107300,,11408,Y,1,6,,Y
796,"Rooftop K-8",,"500 Corbett Ave",94114,,"San Francisco",CA,4155226757,"Kawaii, DarrenAnthony",4155226763,sch7961@sfusd.edu,6,9,TK,8,N,N,N,Y,38,68478,6089775,,05661,Y,0,6,C4,N
941,"Chavez (Cesar) PreK",,"825 Shotwell St",94110,,"San Francisco",CA,4156955765,"Dowdle, Lindsay",4156955843,,1,,PK,PK,N,N,N,N,38,68478,6041149,,05623,Y,1,1,EE,N
152,"NPS - Seneca Family of Agencies: Maya Angelou",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
914,"SF Montessori EED",,"2340 Jackson St",94115,,"San Francisco",CA,4157493544,"Benitez, Monette",,,1,,PK,PK,N,N,N,N,38,68478,0123117,,12788,Y,1,1,EE,N
924,"Early Start Program",,"1098 Harrison St",94103,,"San Francisco",CA,4153557735,,,,5,,Infant,Unknown,N,N,N,N,38,10389,6069561,,09473,Y,1,1,,N
172,"NPS - North Valley School, Redding",,"855 Canyon Rd",96001,5544,Redding,CA,5302321406,,5303780857,bdeshais@victor.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,09473,Y,1,1,,N
750,"Sunset ES",,"1920 41st Ave",94116,,"San Francisco",CA,4157592760,"Tong, Rosina",4157592729,sch750@sfusd.edu,2,3,K,5,Y,N,N,N,38,68478,6113997,,06556,Y,1,1,C5,N
456,"Bryant ES",,"2641 25th St",94110,,"San Francisco",CA,4156955780,"Codicetti, Laura",4152060538,sch456@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6040778,,05592,Y,1,1,C1,N
134,"NPS - Change Academy at Lake of the Ozarks (CALO)",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
513,"Taylor (Edward R) ES",,"423 Burrows St",94134,,"San Francisco",CA,4153301530,"Norris, David",4154681742,sch513@sfusd.edu,2,3,K,5,Y,N,N,N,38,68478,6040943,,05604,Y,1,1,C4,N
156,"NPS - Telos Academy",,"870 W Center St",84057,,Orem,UT,8014268800,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
413,"Alamo ES",,"250 23rd Ave",94121,,"San Francisco",CA,4157508456,"Fong, Rosa",4157508434,sch413@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6040695,,05582,Y,1,1,C1,N
539,"Feinstein (Dianne) ES",,"2550 25th Ave",94116,,"San Francisco",CA,4156158460,"Zaki, Salwa",4152422532,sch539@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,0111427,,11772,Y,1,1,C5,N
680,"Flynn (Leonard R) ES",,"3125 Cesar Chavez St",94110,,"San Francisco",CA,4156955770,"Rodriguez, Luis",4156955837,sch680@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041347,,05640,Y,1,1,C1,N
993,"21st Century PreK (closed)",,"2055 Silver Av",94124,,"San Francisco",CA,4156955453,,,,,,,,N,N,N,N,38,68478,6041032,,,Y,,,,N
644,"Jefferson ES",,"1725 Irving St",94122,,"San Francisco",CA,4157592821,"Berger, Craig",4157592806,sch644@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041230,,05631,Y,1,1,C5,N
135,"NPS - Children's Health Council (Formerly Esther B. Clark School)",,"650 Clark Way",94304,,"Palo Alto",CA,6503265530,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
987,"San Miguel EES",,"300 Seneca Ave",94112,,"San Francisco",CA,4154694756,"Tong, Anita",,,1,,PK,PK,N,N,N,N,38,68478,0117481,,13548,Y,1,1,EE,N
888,"Online Learning Program (Closed)",,"555 Franklin St",94102,,"San Francisco",CA,4152416000,"Chu, Shann",,olp@sfusd.edu,,,,,N,N,N,N,38,68478,3868478,,,Y,,,,N
952,"Muir (John) PreK",,"380 Webster St",94117,,"San Francisco",CA,4152416335,"Liebert, Sara",,,1,,PK,PK,N,N,N,N,38,68478,6041255,,05633,Y,1,1,EE,N
164,"NPS - The Help Group: Young Learners",,,,,,,,,,,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
872,"Chin (John Yehall) ES",,"350 Broadway St",94133,,"San Francisco",CA,4152917946,"Lee, Allen",4152917943,sch872@sfusd.edu,2,3,K,5,Y,N,N,N,38,68478,6113252,,05369,Y,1,1,C2,N
109,"NPS - Pacific Autism Center for Education","Pacific Autism Ctr","1880 PRUNERIDGE Av",95050,,"SANTA CLARA",CA,4802453400,,4082607267,,5,,K,Unknown,N,N,N,N,38,10389,0000001,"Pacific Autism Ctr",,Y,1,1,,N
108,"NPS - Creative Learning Center",,"815 Allerton St",94063,1360,"Redwood City",CA,6503858381,,,admin1@clcsped.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
778,"Presidio MS",,"450 30th Ave",94121,,"San Francisco",CA,4157508435,"Chui, Kevin",4157508445,sch778@sfusd.edu,3,4,6,8,N,Y,N,N,38,68478,6062079,,05657,Y,0,8,MS,N
801,"Wo (Yick) ES",,"2245 Jones St",94133,,"San Francisco",CA,4157493540,"Sanchez, Alfred",4157493543,sch801@sfusd.edu,2,3,K,5,Y,N,N,N,38,68478,6041131,,08967,Y,1,1,C2,N
996,"Rooftop PreK","Rooftop EES","433 Burnett St",94131,,"San Francisco",CA,4156955691,"Kawaii, DarrenAnthony",,,1,,PK,PK,N,N,N,N,38,68478,6089775,"Rooftop EES",05661,Y,1,1,EE,N
420,"Alvarado ES",,"625 Douglass St",94114,,"San Francisco",CA,4156955695,"Sadja, Sheera",4156955447,sch420@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6040703,,05583,Y,1,1,C1,N
187,"NPS - Solstice RTC/Fernwood Academy",,"1904 W Gordon Ave",84041,,Layton,UT,8014440794,,,dan@solsticertc.com,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
050,"NPS - Families First, Inc.",,"2100 Fifth St",95616,,Davis,CA,5307473400,,5307530398,nps@emqff.org,5,,K,Unknown,N,N,N,N,38,10389,0000001,,,Y,1,1,,N
479,"Lilienthal (Claire) K-8",,"3630 Divisadero St",94123,,"San Francisco",CA,4157493516,"Dhillon, Primal",4157493431,sch479@sfusd.edu,6,7,K,8,N,N,N,Y,38,68478,6102479,,07841,Y,0,7,C4,N
724,"Mission Education Center ES",,"1670 Noe St",94131,,"San Francisco",CA,4156955313,"Llewelyn-Vasquez, Carla",4156955339,sch724@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6089585,,05649,Y,1,1,C2,N
441,"Access SFUSD: Bay Street",,"416 Bay St",94133,,"San Francisco",CA,4159265250,"Schinella, Kara",,,5,,"5th YR Senior","5th YR Senior",N,N,N,N,38,10389,6069561,,10647,Y,1,1,HS2,N
830,"Malcolm X Academy ES",,"350 Harbor Rd",94124,,"San Francisco",CA,4156955950,"Fitzsimons, Matthew",4156471647,sch830@sfusd.edu,2,3,TK,5,Y,N,N,N,38,68478,6041586,,05669,Y,1,1,C3,N
