schno,school,comp_score,hist_ineq,sch_acc,prog_acc,acad,sel,scc,demand,turnover,enroll,building
559,Galileo High,91.88,-0.23,4.34,0.33,1.39,0.18,-1.32,1.42,0.16,-0.9,-0.82
697,Lowell High,90.97,-0.55,2.04,-1.32,1.59,0.74,0.39,4.27,0.46,4.17,0.41
797,Roosevelt Middle,74.97,-0.66,1.86,-0.35,1.05,0.93,0.14,2.3,1.26,0.31,0
571,Washington (George) High,72.91,-1,2.4,-0.6,0.47,0.11,-0.42,3.07,0.28,0.75,1.09
764,Burton (Phillip and Sala) Academic High,69.96,0.08,1.38,0.8,0.38,0.37,-0.06,0.2,0.45,0.91,0.27
785,Wallenberg (Raoul) Traditional High,68.34,-0.34,1.12,0.16,1.19,0.56,0.34,0.33,0.92,1.07,0.54
485,Yu (Alice Fong) Elementary,66.85,-0.61,0.08,1.21,1.53,1,0.94,-0.26,0.57,1.15,0
405,Lincoln (Abraham) High,62.09,-0.18,1.47,-0.02,-0.12,0.18,-1.83,4.65,-1.48,0.94,-0.34
439,Balboa High,62.04,0.06,1.83,0.43,-1,-0.01,-0.57,1.58,-0.3,2.33,-2.05
546,Francisco Middle,58.93,-0.43,2.7,0.5,-0.31,-0.27,-1.07,0.16,-0.51,-0.6,-0.34
621,S.F. International High,55.71,0.39,-0.1,1.2,0,0.78,0.64,0,0.99,0,-1.09
725,Mission High,54.86,0.72,0.93,0.8,-0.76,0.26,-0.62,0.29,0.05,1.26,-1.57
820,Sheridan Elementary,54.8,-0.1,0.11,0.63,0.24,1.86,1.3,-0.65,-0.34,-0.74,1.09
618,Buena Vista/ Horace Mann K-8,54.62,1.12,-0.02,1.21,-0.46,-0.31,0.24,-0.37,0.94,1.13,-1.09
832,Academy (The)- SF @McAteer,53.99,0.22,1.81,0.21,-1.45,-0.12,0.09,-0.43,0.98,-0.81,0.88
431,Aptos Middle,51.87,-0.32,1.16,0.07,1.05,0.29,-1.22,1.49,-1.3,-0.13,-0.21
868,Visitacion Valley Middle,51.5,0.21,0.78,0.88,0.88,-1.09,-1.58,-0.28,1.18,-0.18,0.07
778,Presidio Middle,51.16,-1.38,1.99,-1.12,-0.54,0.97,-0.67,2.12,0.67,0.65,0
691,Longfellow Elementary,50.56,-0.55,0.08,0.68,0.71,-0.01,0.29,-0.52,0.67,-0.06,1.56
872,Chin (John Yehall),50.03,-0.36,-0.94,0.48,0.75,0.7,1.85,-0.5,0.77,0.41,1.7
650,Muir (John) Elementary,49.99,1,-0.48,0.72,1.12,0.52,0.74,-0.63,0.77,-1.5,-0.21
404,Giannini (A.P.) Middle,49.9,-1.09,0.68,-1.28,0.97,0.44,-0.62,3.46,0.34,0.64,0.81
525,Cobb (William L.) Elementary,49.82,0.56,-0.35,0.01,1.74,0.18,1.4,-0.66,-0.5,-0.31,0.88
478,Clarendon Alternative Elementary,49.1,-0.1,-0.58,-0.44,0.39,1.9,1.15,0.32,1.08,0.42,1.22
453,Harte (Bret) Elementary,48.91,1.44,0.27,1.07,-0.26,-0.98,0.19,-0.63,0.97,-1.37,-0.68
537,Huerta (Dolores) Elementary,48.75,0.83,-1.43,1.21,0.47,0.14,0.89,-0.21,1.35,0.46,-0.21
497,Webster (Daniel) Elementary,48.04,0.67,-0.45,0.31,1.05,0,0,-0.37,0.26,0.32,1.15
607,Hoover (Herbert) Middle,47.8,-0.41,0.4,0.26,-0.11,-0.23,-1.47,2.12,1.37,0.43,-0.21
742,Downtown High,46.85,1.07,0.07,0.48,-0.77,-0.04,0.59,0,-1.08,0,1.02
746,Ortega (Jose) Elementary,44.27,-0.23,-0.37,0.45,0.33,-0.27,0.34,-0.25,1.7,0.41,0.27
853,Marshall (Thurgood) High,44.18,0.64,0.75,1.16,-0.5,-0.16,-0.47,-0.48,-0.81,-2.58,0.47
466,Independence High,43.58,-0.17,1.52,-0.08,-4.15,0.37,1.45,0,0.72,0,1.29
625,Carver (George Washington) Elementary,41.76,2.61,-0.34,0.91,0.03,-1.2,-0.21,-0.71,-0.64,-1.35,-0.48
743,Wells (Ida B.) High,41.7,0.55,0.62,0.67,-3.18,-0.01,0.49,0,0.8,0,0.13
838,King (Thomas Starr) Elementary,41.53,0.68,-0.42,0.83,0.74,-0.6,-1.1,-0.45,0.25,0.17,0.27
479,Lilienthal (Claire) Elementary,40.88,-0.36,0.68,-1.48,1.04,1.53,0.14,0.13,0.53,1.04,-1.5
729,Monroe Elementary,40.53,-0.08,-1.39,1.07,0.56,-1.24,0.49,-0.26,0.82,1.36,1.02
593,Guadalupe Elementary,40.43,-0.08,-0.18,0.76,0.04,-0.68,0.54,-0.58,-0.41,-0.19,0.95
656,Serra (Junipero) Elementary,40.12,0.66,-0.83,0.44,0.54,-0.68,-0.21,-0.58,0.73,0.47,1.29
